crop_item_code,crop_item,cbs_item_code,cbs_item,tcf
15,Wheat,2511,Wheat and products,1
27,"Rice, paddy",2805,Rice (Milled Equivalent),0.75
44,Barley,2513,Barley and products,1
56,Maize,2514,Maize and products,1
71,Rye,2515,Rye and products,1
75,Oats,2516,Oats,1
79,Millet,2517,Millet and products,1
83,Sorghum,2518,Sorghum and products,1
89,Buckwheat,2520,"Cereals, Other",1
92,Quinoa,2520,"Cereals, Other",1
94,Fonio,2520,"Cereals, Other",1
97,Triticale,2520,"Cereals, Other",1
101,Canary seed,2520,"Cereals, Other",1
103,"Grain, mixed",2520,"Cereals, Other",1
108,"Cereals, nes",2520,"Cereals, Other",1
116,Potatoes,2531,Potatoes and products,1
122,Sweet potatoes,2533,Sweet potatoes,1
125,Cassava,2532,Cassava and products,1
135,Yautia (cocoyam),2534,"Roots, Other",1
136,Taro (cocoyam),2534,"Roots, Other",1
137,Yams,2535,Yams,1
149,"Roots and tubers, nes",2534,"Roots, Other",1
156,Sugar cane,2536,Sugar cane,1
157,Sugar beet,2537,Sugar beet,1
161,"Sugar crops, nes",2543,"Sweeteners, Other",1
176,"Beans, dry",2546,Beans,1
181,"Broad beans, horse beans, dry",2549,"Pulses, Other and products",1
187,"Peas, dry",2547,Peas,1
191,Chick peas,2549,"Pulses, Other and products",1
195,"Cow peas, dry",2549,"Pulses, Other and products",1
197,Pigeon peas,2549,"Pulses, Other and products",1
201,Lentils,2549,"Pulses, Other and products",1
203,Bambara beans,2549,"Pulses, Other and products",1
205,Vetches,2549,"Pulses, Other and products",1
210,Lupins,2549,"Pulses, Other and products",1
211,"Pulses, nes",2549,"Pulses, Other and products",1
216,"Brazil nuts, with shell",2551,Nuts and products,1
217,"Cashew nuts, with shell",2551,Nuts and products,1
220,Chestnut,2551,Nuts and products,1
221,"Almonds, with shell",2551,Nuts and products,1
222,"Walnuts, with shell",2551,Nuts and products,1
223,Pistachios,2551,Nuts and products,1
224,Kola nuts,2551,Nuts and products,1
225,"Hazelnuts, with shell",2551,Nuts and products,1
226,Areca nuts,2551,Nuts and products,1
234,"Nuts, nes",2551,Nuts and products,1
236,Soybeans,2555,Soyabeans,1
242,"Groundnuts, with shell",2551,Nuts and products,1
249,Coconuts,2560,Coconuts - Incl Copra,1
254,"Oil, palm fruit",254,"Oil, palm fruit",1
256,Palm kernels,2562,Palm kernels,1
257,"Oil, palm",2577,Palm Oil,1
260,Olives,2563,Olives (including preserved),1
263,Karite nuts (sheanuts),2570,"Oilcrops, Other",1
265,Castor oil seed,2570,"Oilcrops, Other",1
267,Sunflower seed,2557,Sunflower seed,1
270,Rapeseed,2558,Rape and Mustardseed,1
275,Tung nuts,2570,"Oilcrops, Other",1
277,Jojoba seed,2570,"Oilcrops, Other",1
280,Safflower seed,2570,"Oilcrops, Other",1
289,Sesame seed,2561,Sesame seed,1
292,Mustard seed,2558,Rape and Mustardseed,1
296,Poppy seed,2570,"Oilcrops, Other",1
299,Melonseed,2570,"Oilcrops, Other",1
305,Tallowtree seed,2570,"Oilcrops, Other",1
310,Kapok fruit,2570,"Oilcrops, Other",1
311,Kapokseed in shell,2570,"Oilcrops, Other",1
328,Seed cotton,328,Seed cotton,1
329,Cottonseed,2559,Cottonseed,1
333,Linseed,2570,"Oilcrops, Other",1
336,Hempseed,2570,"Oilcrops, Other",1
339,Oilseeds nes,2570,"Oilcrops, Other",1
358,Cabbages and other brassicas,2605,"Vegetables, Other",1
366,Artichokes,2605,"Vegetables, Other",1
367,Asparagus,2605,"Vegetables, Other",1
372,Lettuce and chicory,2605,"Vegetables, Other",1
373,Spinach,2605,"Vegetables, Other",1
378,Cassava leaves,2532,Cassava and products,1
388,Tomatoes,2601,Tomatoes and products,1
393,Cauliflowers and broccoli,2605,"Vegetables, Other",1
394,"Pumpkins, squash and gourds",2605,"Vegetables, Other",1
397,Cucumbers and gherkins,2605,"Vegetables, Other",1
399,Eggplants (aubergines),2605,"Vegetables, Other",1
401,"Chillies and peppers, green",2605,"Vegetables, Other",1
402,"Onions, shallots, green",2602,Onions,1
403,"Onions, dry",2602,Onions,1
406,Garlic,2605,"Vegetables, Other",1
407,"Leeks, other alliaceous vegetables",2605,"Vegetables, Other",1
414,"Beans, green",2605,"Vegetables, Other",1
417,"Peas, green",2605,"Vegetables, Other",1
420,"Vegetables, leguminous nes",2605,"Vegetables, Other",1
423,String beans,2605,"Vegetables, Other",1
426,Carrots and turnips,2605,"Vegetables, Other",1
430,Okra,2605,"Vegetables, Other",1
446,"Maize, green",2605,"Vegetables, Other",1
449,Mushrooms and truffles,2605,"Vegetables, Other",1
459,Chicory roots,2605,"Vegetables, Other",1
461,Carobs,2605,"Vegetables, Other",1
463,"Vegetables, fresh nes",2605,"Vegetables, Other",1
486,Bananas,2615,Bananas,1
489,Plantains,2616,Plantains,1
490,Oranges,2611,"Oranges, Mandarines",1
495,"Tangerines, mandarins, clementines, satsumas",2611,"Oranges, Mandarines",1
497,Lemons and limes,2612,"Lemons, Limes and products",1
507,Grapefruit (inc. pomelos),2613,Grapefruit and products,1
512,"Fruit, citrus nes",2625,"Fruits, Other",1
515,Apples,2617,Apples and products,1
521,Pears,2625,"Fruits, Other",1
523,Quinces,2625,"Fruits, Other",1
526,Apricots,2625,"Fruits, Other",1
530,"Cherries, sour",2625,"Fruits, Other",1
531,Cherries,2625,"Fruits, Other",1
534,Peaches and nectarines,2625,"Fruits, Other",1
536,Plums and sloes,2625,"Fruits, Other",1
541,"Fruit, stone nes",2625,"Fruits, Other",1
542,"Fruit, pome nes",2625,"Fruits, Other",1
544,Strawberries,2625,"Fruits, Other",1
547,Raspberries,2625,"Fruits, Other",1
549,Gooseberries,2625,"Fruits, Other",1
550,Currants,2625,"Fruits, Other",1
552,Blueberries,2625,"Fruits, Other",1
554,Cranberries,2625,"Fruits, Other",1
558,Berries nes,2625,"Fruits, Other",1
560,Grapes,2620,Grapes and products (excl wine),1
567,Watermelons,2605,"Vegetables, Other",1
568,"Melons, other (inc.cantaloupes)",2605,"Vegetables, Other",1
569,Figs,2625,"Fruits, Other",1
571,"Mangoes, mangosteens, guavas",2625,"Fruits, Other",1
572,Avocados,2625,"Fruits, Other",1
574,Pineapples,2618,Pineapples and products,1
577,Dates,2619,Dates,1
587,Persimmons,2625,"Fruits, Other",1
591,Cashewapple,2625,"Fruits, Other",1
592,Kiwi fruit,2625,"Fruits, Other",1
600,Papayas,2625,"Fruits, Other",1
603,"Fruit, tropical fresh nes",2625,"Fruits, Other",1
619,"Fruit, fresh nes",2625,"Fruits, Other",1
656,"Coffee, green",2630,Coffee and products,1
661,"Cocoa, beans",2633,Cocoa Beans and products,1
667,Tea,2635,Tea (including mate),1
671,Mate,2635,Tea (including mate),1
677,Hops,677,Hops,1
687,Pepper (piper spp.),2640,Pepper,1
689,"Chillies and peppers, dry",2641,Pimento,1
692,Vanilla,2645,"Spices, Other",1
693,Cinnamon (canella),2645,"Spices, Other",1
698,Cloves,2642,Cloves,1
702,"Nutmeg, mace and cardamoms",2645,"Spices, Other",1
711,"Anise, badian, fennel, coriander",2645,"Spices, Other",1
720,Ginger,2645,"Spices, Other",1
723,"Spices, nes",2645,"Spices, Other",1
748,Peppermint,2645,"Spices, Other",1
754,"Pyrethrum, dried",2645,"Spices, Other",1
767,Cotton lint,2661,Cotton lint,1
773,Flax fibre and tow,2664,"Soft-Fibres, Other",1
777,Hemp tow waste,2664,"Soft-Fibres, Other",1
778,Kapok fibre,2664,"Soft-Fibres, Other",1
780,Jute,2662,Jute,1
782,"Bastfibres, other",2667,"Hard Fibres, Other",1
788,Ramie,2667,"Hard Fibres, Other",1
789,Sisal,2665,Sisal,1
800,Agave fibres nes,2667,"Hard Fibres, Other",1
809,Manila fibre (abaca),2666,Abaca,1
813,Coir,2667,"Hard Fibres, Other",1
821,Fibre crops nes,2667,"Hard Fibres, Other",1
826,"Tobacco, unmanufactured",2671,Tobacco,1
836,"Rubber, natural",2672,Rubber,1
839,"Gums, natural",,,
1717,"Cereals,Total",,,
1720,"Roots and Tubers,Total",,,
1726,"Pulses,Total",,,
1729,"Treenuts,Total",,,
1732,Oilcrops Primary,,,
1735,Vegetables Primary,,,
1738,Fruit Primary,,,
1751,Jute & Jute-like Fibres,,,
1753,Fibre Crops Primary,,,
1800,"Vegetables&Melons, Total",,,
1801,"Fruit excl Melons,Total",,,
1804,"Citrus Fruit,Total",,,
1814,"Coarse Grain, Total",,,
1817,Cereals (Rice Milled Eqv),,,
1841,Oilcakes Equivalent,,,
636,"Forage and silage, maize",2000,Fodder crops,1
637,"Forage and silage, sorghum",2000,Fodder crops,1
638,"Forage and silage, rye grass",,,
639,"Forage and silage, grasses nes",,,
640,"Forage and silage, clover",2000,Fodder crops,1
641,"Forage and silage, alfalfa",2000,Fodder crops,1
642,"Forage and silage, green oilseeds",2000,Fodder crops,1
643,"Forage and silage, legumes",2000,Fodder crops,1
644,Cabbage for fodder,2000,Fodder crops,1
645,Mixed Grasses and Legumes,,,
646,Turnips for fodder,2000,Fodder crops,1
647,Beets for fodder,2000,Fodder crops,1
648,Carrots for fodder,2000,Fodder crops,1
649,Swedes for fodder,2000,Fodder crops,1
651,Forage products,2000,Fodder crops,1
655,Vegetables and roots fodder,2000,Fodder crops,1
165,Molasses,2544,Molasses,1
331,"Oil, cottonseed",2575,Cottonseed Oil,1
334,"Oil, linseed",2586,"Oilcrops Oil, Other",1
261,"Oil, olive, virgin",2580,Olive Oil,1
290,"Oil, sesame",2579,Sesameseed Oil,1
268,"Oil, sunflower",2573,Sunflowerseed Oil,1
162,Sugar Raw Centrifugal,2818,"Sugar, Refined Equiv",0.92
51,Beer of barley,2656,Beer,1
1242,"Margarine, short",,,
244,"Oil, groundnut",2572,Groundnut Oil,1
237,"Oil, soybean",2571,Soyabean Oil,1
564,Wine,2655,Wine,1
271,"Oil, rapeseed",2574,Rape and Mustard Oil,1
281,"Oil, safflower",2586,"Oilcrops Oil, Other",1
252,"Oil, coconut (copra)",2578,Coconut Oil,1
258,"Oil, palm kernel",2576,Palmkernel Oil,1
60,"Oil, maize",2582,Maize Germ Oil,1
