m49,country_name_en,country_name_es,country_name_fr,country_name_ar,country_name_zh,country_name_ru
-1,Abyei,,,,,
4,Afghanistan,Afganistán,Afghanistan,أفغانستان,阿富汗,Афганистан
-20,Akrotiri,,,,,
-2,Aksai Chin,,,,,
8,Albania,Albania,Albanie,ألبانيا,阿尔巴尼亚,Албания
12,Algeria,Argelia,Algérie,الجزائر,阿尔及利亚,Алжир
16,American Samoa,Samoa Americana,Samoa américaines,ساموا الأمريكيّة,美属萨摩亚,Американское Самоа
20,Andorra,Andorra,Andorre,أندورا,安道尔,Андорра
24,Angola,Angola,Angola,أنغولا,安哥拉,Ангола
660,Anguilla,Anguila,Anguilla,أنغويلا,安圭拉,Ангилья
10,Antarctica,Antártida,Antarctique,أنتارتيكا,南极洲,Антарктика
28,Antigua and Barbuda,Antigua y Barbuda,Antigua-et-Barbuda,أنتيغوا وبربودا,安提瓜和巴布达,Антигуа и Барбуда
32,Argentina,Argentina,Argentine,الأرجنتين,阿根廷,Аргентина
51,Armenia,Armenia,Arménie,أرمينيا,亚美尼亚,Армения
533,Aruba,Aruba,Aruba,أَروبا,阿鲁巴岛,Аруба
-3,Arunachal Pradesh,,,,,
36,Australia,Australia,Australie,أستراليا,澳大利亚,Австралия
40,Austria,Austria,Autriche,النمسا,奥地利,Австрия
31,Azerbaijan,Azerbaiyán,Azerbaïdjan,أذربيجان,阿塞拜疆,Азербайджан
44,Bahamas,Bahamas,Bahamas,جزر البهاما,巴哈马,Багамские Острова
48,Bahrain,Bahrein,Bahreïn,البحرين,巴林,Бахрейн
50,Bangladesh,Bangladesh,Bangladesh,بنغلاديش,孟加拉国,Бангладеш
52,Barbados,Barbados,Barbade,بربادوس,巴巴多斯,Барбадос
-4,Bassas da India,,,,,
112,Belarus,Belarús,Bélarus,بيلاروس,白俄罗斯,Беларусь
56,Belgium,Bélgica,Belgique,بلجيكا,比利时,Бельгия
-24,Belgium-Luxembourg,,,,,
84,Belize,Belice,Belize,بليز,伯利兹,Белиз
204,Benin,Benin,Bénin,بنن,贝宁,Бенин
60,Bermuda,Bermudas,Bermudes,برمودا,百慕大,Бермудские острова
64,Bhutan,Bhután,Bhoutan,بوتان,不丹,Бутан
-15,Bi'r Tawīl,,,,,
68,Bolivia (Plurinational State of),Bolivia (Estado Plurinacional de),Bolivie (État plurinational de),بوليفيا دولة) المتعددة (القوميات,玻利维亚（多民族国）,Боливия (Многонациональное Государство)
535,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius y Saba","Bonaire, Sint Eustatius et Saba",بونير وسان يوستاتيوس وسابا,博纳尔、圣俄斯塔休斯和萨巴,"Бонайре, Синт-Эстатиус и Саба"
70,Bosnia and Herzegovina,Bosnia y Herzegovina,Bosnie-Herzégovine,البوسنة والهرسك,波斯尼亚和黑塞哥维那,Босния и Герцеговина
72,Botswana,Botswana,Botswana,بوتسوانا,博茨瓦纳,Ботсвана
74,Bouvet Island,Isla Bouvet,Île Bouvet,جزر بوفيه,博维特岛,остров Буве
76,Brazil,Brasil,Brésil,البرازيل,巴西,Бразилия
86,British Indian Ocean Territory,Territorio Británico del Océano Índico,Territoire britannique de l'océan Indien,المناطق البريطانيّة في المحيط الهندي,英属印度洋领地,Британская территория в Индийском океане
92,British Virgin Islands,Islas Vírgenes Británicas,Îles Vierges britanniques,جزر فيرجين البريطانيّة,英属维尔京群岛,Британские Виргинские острова
96,Brunei Darussalam,Brunei Darussalam,Brunéi Darussalam,بروني دار السلام,文莱达鲁萨兰国,Бруней-Даруссалам
100,Bulgaria,Bulgaria,Bulgarie,بلغاريا,保加利亚,Болгария
854,Burkina Faso,Burkina Faso,Burkina Faso,بوركينا فاسو,布基纳法索,Буркина-Фасо
108,Burundi,Burundi,Burundi,بوروندي,布隆迪,Бурунди
132,Cabo Verde,Cabo Verde,Cabo Verde,كابو فيردي,佛得角,Кабо-Верде
116,Cambodia,Camboya,Cambodge,كمبوديا,柬埔寨,Камбоджа
120,Cameroon,Camerún,Cameroun,الكاميرون,喀麦隆,Камерун
124,Canada,Canadá,Canada,كندا,加拿大,Канада
136,Cayman Islands,Islas Caimán,Îles Caïmanes,جزر كايمان,开曼群岛,Каймановы острова
140,Central African Republic,República Centroafricana,République centrafricaine,جمهوريّة أفريقيا الوسطى,中非共和国,Центральноафриканская Республика
148,Chad,Chad,Tchad,تشاد,乍得,Чад
-25,Channel Islands,,,,,
152,Chile,Chile,Chili,شيلي,智利,Чили
156,China,China,Chine,الصين,中国,Китай
344,"China, Hong Kong SAR","China, RAE de Hong Kong",Chine - RAS de Hong-Kong,الصين - هونغ كونغ منطقة إداريّة خاصة,中国香港特区,"Китай, Специальный административный район Гонконг"
446,"China, Macao SAR","China, RAE de Macao",Chine - RAS de Macao,الصين - مكاو منطقة إداريّة خاصّة,中国澳门特区,"Китай, Специальный административный район Макао"
158,"China, Taiwan Province of","Taiwan, provincia de China","Taiwan, Province de Chine",تايوان ، مقاطعة الصين,台湾，中国,"Тайвань, провинция Китая"
-26,"China, mainland",,,,,
162,Christmas Island,Isla de Navidad,Île Christmas,جزر كريسماس,圣诞岛,остров Рождества
166,Cocos (Keeling) Islands,Islas Cocos (Keeling),Îles des Cocos (Keeling),جزر كوكوس - كيلنغ,可可群岛,Кокосовые острова (Килинг)
170,Colombia,Colombia,Colombie,كولومبيا,哥伦比亚,Колумбия
174,Comoros,Comoras,Comores,جزر القمر,科摩罗,Коморские Острова
178,Congo,Congo,Congo,الكونغو,刚果,Конго
184,Cook Islands,Islas Cook,Îles Cook,جزر كوك,库克群岛,Острова Кука
188,Costa Rica,Costa Rica,Costa Rica,كوستاريكا,哥斯达黎加,Коста-Рика
191,Croatia,Croacia,Croatie,كرواتيا,克罗地亚,Хорватия
192,Cuba,Cuba,Cuba,كوبا,古巴,Куба
531,Curaçao,Curaçao,Curaçao,كوراساو,库拉索,Кюрасао
196,Cyprus,Chipre,Chypre,قبرص,塞浦路斯,Кипр
203,Czechia,Chequia,Tchéquie (la),تشيكيا,捷克,Чехия
384,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,كوت ديفوار,科特迪瓦,Кот-д`Ивуар
-21,Dekelia,,,,,
408,Democratic People's Republic of Korea,República Popular Democrática de Corea,République populaire démocratique de Corée,جمهوريّة كوريا الشعبيّة الديمقراطية,朝鲜民主主义人民共和国,Корейская Народно-Демократическая Республика
180,Democratic Republic of the Congo,República Democrática del Congo,République démocratique du Congo,جمهوريّة الكونغو الديمقراطية,刚果民主共和国,Демократическая Республика Конго
208,Denmark,Dinamarca,Danemark,الدانمرك,丹麦,Дания
262,Djibouti,Djibouti,Djibouti,جيبوتي,吉布提,Джибути
212,Dominica,Dominica,Dominique,دومينيكا,多米尼克,Доминика
214,Dominican Republic,República Dominicana,République dominicaine,الجمهوريّة الدومينيكيّة,多米尼加共和国,Доминиканская Республика
218,Ecuador,Ecuador,Équateur,إكوادور,厄瓜多尔,Эквадор
818,Egypt,Egipto,Égypte,مصر,埃及,Египет
222,El Salvador,El Salvador,El Salvador,السلفادور,萨尔瓦多,Сальвадор
226,Equatorial Guinea,Guinea Ecuatorial,Guinée équatoriale,غينيا الاستوائيّة,赤道几内亚,Экваториальная Гвинея
232,Eritrea,Eritrea,Érythrée,إريتريا,厄立特里亚,Эритрея
233,Estonia,Estonia,Estonie,إستونيا,爱沙尼亚,Эстония
748,Eswatini,Eswatini,Eswatini,إسواتيني,斯威士兰,Эсватини
231,Ethiopia,Etiopía,Éthiopie,إثيوبيا,埃塞俄比亚,Эфиопия
-5,Europa Island,,,,,
238,Falkland Islands (Malvinas),Islas Malvinas (Falkland Islands),Îles Falkland (Malvinas),جزر فوكلاند - مالفيناس,福克兰群岛,Фолклендские (Мальвинские) острова
234,Faroe Islands,Islas Feroe (Miembro Asociado),Îles Féroé (Membre associé),جزر فيرويه - عضو منتسب,法罗群岛(准成员),Фарерские Острова (ассоциированный член)
242,Fiji,Fiji,Fidji,فيجي,斐济,Фиджи
246,Finland,Finlandia,Finlande,فنلندا,芬兰,Финляндия
250,France,Francia,France,فرنسا,法国,Франция
254,French Guiana,Guayana Francesa,Guyane française,الفرنسيّة غيانا,法属圭亚那,Французская Гвиана
258,French Polynesia,Polinesia Francesa,Polynésie française,بولينيزيا الفرنسية,法属波利尼西亚,Французская Полинезия
260,French Southern and Antarctic Territories,Tierras Australes y Antárticas Francesas,Terres australes et antarctiques françaises,الأقاليم الفرنسيّة الجنوبيّة والواقعة في أنتارتيكا,法属南部和南极区领土,Французские южные и антарктические территории
266,Gabon,Gabón,Gabon,غابون,加蓬,Габон
270,Gambia,Gambia,Gambie,غامبيا,冈比亚,Гамбия
268,Georgia,Georgia,Géorgie,جورجيا,格鲁吉亚,Грузия
276,Germany,Alemania,Allemagne,ألمانيا,德国,Германия
288,Ghana,Ghana,Ghana,غانا,加纳,Гана
292,Gibraltar,Gibraltar,Gibraltar,جبل طارق,直布罗陀,Гибралтар
-6,Glorioso Islands,,,,,
300,Greece,Grecia,Grèce,اليونان,希腊,Греция
304,Greenland,Groenlandia,Groenland,غرينلاند,格陵兰,Гренландия
308,Grenada,Granada,Grenade,غرينادا,格林纳达,Гренада
312,Guadeloupe,Guadalupe,Guadeloupe,غوادلوب,瓜德罗普,Гваделупа
316,Guam,Guam,Guam,غوام,关岛,Гуам
320,Guatemala,Guatemala,Guatemala,غواتيمالا,危地马拉,Гватемала
831,Guernsey,Isla de Guernesey,Guernesey,بيلويك التابعة لغويرنسي,根西,Гернси
324,Guinea,Guinea,Guinée,غينيا,几内亚,Гвинея
624,Guinea-Bissau,Guinea-Bissau,Guinée-Bissau,غينيا - بيساو,几内亚比绍,Гвинея-Бисау
328,Guyana,Guyana,Guyana,غيانا,圭亚那,Гайана
332,Haiti,Haití,Haïti,هايتي,海地,Гаити
-9,Hala'ib Triangle,,,,,
-10,Hala'ib Triangle,,,,,
334,Heard and McDonald Islands,Islas Heard y McDonald,Îles Heard et McDonald,جزيرة هيرد وجزر ماكدونالد,赫德和麦克唐纳群岛,острова Херд и Макдональд
336,Holy See,Santa Sede,Saint-Siège,الكرسي الرسولي,教廷,Святой Престол
340,Honduras,Honduras,Honduras,هندوراس,洪都拉斯,Гондурас
348,Hungary,Hungría,Hongrie,هنغاريا,匈牙利,Венгрия
352,Iceland,Islandia,Islande,آيسلندا,冰岛,Исландия
-11,Ilemi Triangle,,,,,
356,India,India,Inde,الهند,印度,Индия
360,Indonesia,Indonesia,Indonésie,إندونيسيا,印度尼西亚,Индонезия
364,Iran (Islamic Republic of),Irán (República Islámica del),Iran (République islamique d'),إيران جمهوريّة) - (الإسلامية,伊朗(伊斯兰共和国),Иран (Исламская Республика)
368,Iraq,Iraq,Iraq,العراق,伊拉克,Ирак
372,Ireland,Irlanda,Irlande,آيرلندا,爱尔兰,Ирландия
833,Isle of Man,Isla de Man,Île de Man,جزيرة مان,马恩岛,остров Мэн
376,Israel,Israel,Israël,إسرائيل,以色列,Израиль
380,Italy,Italia,Italie,إيطاليا,意大利,Италия
388,Jamaica,Jamaica,Jamaïque,جامايكا,牙买加,Ямайка
-12,Jammu and Kashmir,,,,,
392,Japan,Japón,Japon,اليابان,日本,Япония
832,Jersey,Jersey,Jersey,جيرسي,泽西,Джерси
400,Jordan,Jordania,Jordanie,الأردن,约旦,Иордания
-7,Juan de Nova Island,,,,,
398,Kazakhstan,Kazajstán,Kazakhstan,كازاخستان,哈萨克斯坦,Казахстан
404,Kenya,Kenya,Kenya,كينيا,肯尼亚,Кения
296,Kiribati,Kiribati,Kiribati,كيريباس,基里巴斯,Кирибати
-14,Kuril Islands,,,,,
414,Kuwait,Kuwait,Koweït,الكويت,科威特,Кувейт
417,Kyrgyzstan,Kirguistán,Kirghizistan,قيرغيزستان,吉尔吉斯斯坦,Кыргызстан
418,Lao People's Democratic Republic,República Democrática Popular Lao,République démocratique populaire lao,جمهوريّة لاو الديمقراطية الشعبيّة,老挝人民民主共和国,Лаосская Народно-Демократическая Республика
428,Latvia,Letonia,Lettonie,لاتفيا,拉脱维亚,Латвия
422,Lebanon,Líbano,Liban,لبنان,黎巴嫩,Ливан
426,Lesotho,Lesotho,Lesotho,ليسوتو,莱索托,Лесото
430,Liberia,Liberia,Libéria,ليبريا,利比里亚,Либерия
434,Libya,Libia,Libye,ليبيا,利比亚,Ливия
438,Liechtenstein,Liechtenstein,Liechtenstein,ليختنشتاين,列支敦士登,Лихтенштейн
440,Lithuania,Lituania,Lituanie,ليتوانيا,立陶宛,Литва
442,Luxembourg,Luxemburgo,Luxembourg,لكسمبرغ,卢森堡,Люксембург
450,Madagascar,Madagascar,Madagascar,مدغشقر,马达加斯加,Мадагаскар
454,Malawi,Malawi,Malawi,ملاوي,马拉维,Малави
458,Malaysia,Malasia,Malaisie,ماليزيا,马来西亚,Малайзия
462,Maldives,Maldivas,Maldives,ملديف,马尔代夫,Мальдивы
466,Mali,Malí,Mali,مالي,马里,Мали
470,Malta,Malta,Malte,مالطة,马耳他,Мальта
584,Marshall Islands,Islas Marshall,Îles Marshall,جزر مارشال,马绍尔群岛,Маршалловы Острова
474,Martinique,Martinica,Martinique,مارتينيك,马提尼克,Мартиника
478,Mauritania,Mauritania,Mauritanie,موريتانيا,毛里塔尼亚,Мавритания
480,Mauritius,Mauricio,Maurice,موريشيوس,毛里求斯,Маврикий
175,Mayotte,Mayotte,Mayotte,مايوت,马约特,Майотта
484,Mexico,México,Mexique,المكسيك,墨西哥,Мексика
583,Micronesia (Federated States of),Micronesia (Estados Federados de),Micronésie (États fédérés de),ميكرونيزيا,密克罗尼西亚(联邦),Микронезия (Федеративные Штаты)
492,Monaco,Mónaco,Monaco,موناكو,摩纳哥,Монако
496,Mongolia,Mongolia,Mongolie,منغوليا,蒙古,Монголия
499,Montenegro,Montenegro,Monténégro,الجبل الأسود,黑山,Черногория
500,Montserrat,Montserrat,Montserrat,مونتيسيرات,蒙特塞拉特,Монтсеррат
504,Morocco,Marruecos,Maroc,المغرب,摩洛哥,Марокко
508,Mozambique,Mozambique,Mozambique,موزامبيق,莫桑比克,Мозамбик
104,Myanmar,Myanmar,Myanmar,ميانمار,缅甸,Мьянма
516,Namibia,Namibia,Namibie,ناميبيا,纳米比亚,Намибия
520,Nauru,Nauru,Nauru,ناورو,瑙鲁,Науру
524,Nepal,Nepal,Népal,نيبال,尼泊尔,Непал
528,Netherlands,Países Bajos,Pays-Bas,هولندا,荷兰,Нидерланды
540,New Caledonia,Nueva Caledonia,Nouvelle-Calédonie,كاليدونيا الجديدة,新喀里多尼亚,Новая Каледония
554,New Zealand,Nueva Zelandia,Nouvelle-Zélande,نيوزيلندا,新西兰,Новая Зеландия
558,Nicaragua,Nicaragua,Nicaragua,نيكاراغوا,尼加拉瓜,Никарагуа
562,Niger,Níger,Niger,النيجر,尼日尔,Нигер
566,Nigeria,Nigeria,Nigéria,نيجيريا,尼日利亚,Нигерия
570,Niue,Niue,Nioué,نيوي,纽埃,Ниуэ
574,Norfolk Island,Isla Norfolk,Île Norfolk,جزيرة نورفولك,诺福克岛,остров Норфолк
807,North Macedonia,Macedonia del Norte,Macédoine du Nord,مقدونيا الشمالية,北马其顿,Северная Македония
580,Northern Mariana Islands,Islas Marianas septentrionales,Îles Mariannes du Nord,جزر ماريانا الشمالية,北马里亚纳群岛,Северные Марианские острова
578,Norway,Noruega,Norvège,النرويج,挪威,Норвегия
512,Oman,Omán,Oman,عمان,阿曼,Оман
586,Pakistan,Pakistán,Pakistan,باكستان,巴基斯坦,Пакистан
585,Palau,Palau,Palaos,بالاو,帕劳,Палау
275,Palestine,Territorio Palestino Ocupado,Territoire palestinien occupé,فلسطين,巴勒斯坦被占领土,Палестина
591,Panama,Panamá,Panama,بنما,巴拿马,Панама
598,Papua New Guinea,Papua Nueva Guinea,Papouasie-Nouvelle-Guinée,بابوا غينيا الجديدة,巴布亚新几内亚,Папуа-Новая Гвинея
-16,Paracel Islands,,,,,
600,Paraguay,Paraguay,Paraguay,باراغواي,巴拉圭,Парагвай
604,Peru,Perú,Pérou,بيرو,秘鲁,Перу
608,Philippines,Filipinas,Philippines,الفلبين,菲律宾,Филиппины
612,Pitcairn Islands,Islas Pitcairn,Îles Pitcairn,جزر بيتكيرن,皮特克恩岛,Питкэрн
616,Poland,Polonia,Pologne,بولندا,波兰,Польша
620,Portugal,Portugal,Portugal,البرتغال,葡萄牙,Португалия
630,Puerto Rico,Puerto Rico,Porto Rico,بورتوريكو,波多黎各,Пуэрто-Рико
634,Qatar,Qatar,Qatar,قطر,卡塔尔,Катар
410,Republic of Korea,República de Corea,République de Corée,جمهوريّة كوريا,大韩民国,Республика Корея
498,Republic of Moldova,República de Moldova,République de Moldova,جمهوريّة مولدوفا,摩尔多瓦共和国,Республика Молдова
642,Romania,Rumania,Roumanie,رومانيا,罗马尼亚,Румыния
643,Russian Federation,Federación de Rusia,Fédération de Russie,الاتحاد الروسي,俄罗斯联邦,Российская Федерация
646,Rwanda,Rwanda,Rwanda,رواندا,卢旺达,Руанда
638,Réunion,Reunión,Réunion,رييونيون,留尼汪,Реюньон
652,Saint Barthélemy,San Bartolomé,Saint-Barthélemy,سان بارتليمي,圣巴泰勒米,Сен-Бартельми
654,"Saint Helena, Ascension and Tristan da Cunha","Santa Elena, Ascensión y Tristán de Acuña","Sainte-Hélène, Ascension et Tristan da Cunha",سانت هيلانة وأسنسيون وتريستان دا كونا,圣赫勒拿、阿森松和特里斯坦-达库尼亚,"острова Святой Елены, Вознесения и Тристан-да-Кунья"
659,Saint Kitts and Nevis,Saint Kitts y Nevis,Saint-Kitts-et-Nevis,سانت كيتس ونيفيس,圣基茨和尼维斯,Сент-Китс и Невис
662,Saint Lucia,Santa Lucía,Sainte-Lucie,سانت لوسيا,圣卢西亚,Сент-Люсия
666,Saint Pierre and Miquelon,Saint-Pierre y Miquelon,Saint-Pierre-et-Miquelon,سان بيير وميكلون,圣皮埃尔和密克隆,Сен-Пьер и Микелон
670,Saint Vincent and the Grenadines,San Vicente y las Granadinas,Saint-Vincent-et-les Grenadines,سانت فنسنت وجزر غرينادين,圣文森特和格林纳丁斯,Сент-Винсент и Гренадины
663,Saint-Martin (French Part),Saint-Martin (parte francesa),Saint-Martin (partie française),سان مارتن - الجزء الفرنسي,圣马丁（法属部分）,Сен-Мартен (французская часть)
882,Samoa,Samoa,Samoa,ساموا,萨摩亚,Самоа
674,San Marino,San Marino,Saint-Marin,سان مارينو,圣马力诺,Сан-Марино
678,Sao Tome and Principe,Santo Tomé y Príncipe,Sao Tomé-et-Principe,سان تومي وبرنسيبي,圣多美和普林西比,Сан-Томе и Принсипи
682,Saudi Arabia,Arabia Saudita,Arabie saoudite,المملكة العربيّة السعوديّة,沙特阿拉伯,Саудовская Аравия
-19,Scarborough Reef,,,,,
686,Senegal,Senegal,Sénégal,السنغال,塞内加尔,Сенегал
-18,Senkaku Islands,,,,,
688,Serbia,Serbia,Serbie,صربيا,塞尔维亚,Сербия
690,Seychelles,Seychelles,Seychelles,سيشيل,塞舌尔,Сейшельские Острова
694,Sierra Leone,Sierra Leona,Sierra Leone,سيراليون,塞拉利昂,Сьерра-Леоне
702,Singapore,Singapur,Singapour,سنغافورة,新加坡,Сингапур
534,Sint Maarten (Dutch Part),,,سينت مارتن,,
703,Slovakia,Eslovaquia,Slovaquie,سلوفاكيا,斯洛伐克,Словакия
705,Slovenia,Eslovenia,Slovénie,سلوفينيا,斯洛文尼亚,Словения
90,Solomon Islands,Islas Salomón,Îles Salomon,جزر سليمان,所罗门群岛,Соломоновы Острова
706,Somalia,Somalia,Somalie,الصومال,索马里,Сомали
710,South Africa,Sudáfrica,Afrique du Sud,جنوب أفريقيا,南非,Южная Африка
239,South Georgia and the South Sandwich Islands,Islas Georgias del Sur y Sandwich del Sur,Îles Géorgie du Sud et Sandwich du Sud,جزر جنوب جورجيا وساندويتش,南乔治亚岛和南桑威奇群岛,остров Южная Георгия и Южные Сандвичевы острова
728,South Sudan,Sudán del Sur,Soudan du Sud,جنوب السودان,南苏丹,Южный Судан
724,Spain,España,Espagne,إسبانيا,西班牙,Испания
-17,Spratly Islands,,,,,
144,Sri Lanka,Sri Lanka,Sri Lanka,سري لانكا,斯里兰卡,Шри-Ланка
729,Sudan,Sudán,Soudan,السودان,苏丹,Судан
740,Suriname,Suriname,Suriname,سورينام,苏里南,Суринам
744,Svalbard and Jan Mayen Islands,Islas Svalbard y Jan Mayen,Îles Svalbard et Jan Mayen,جزر سفالبارد وجان مايين,斯瓦尔巴和扬马延群岛,острова Свальбард и Ян-Майен
752,Sweden,Suecia,Suède,السويد,瑞典,Швеция
756,Switzerland,Suiza,Suisse,سويسرا,瑞士,Швейцария
760,Syrian Arab Republic,República Árabe Siria,République arabe syrienne,الجمهوريّة العربيّة السوريّة,阿拉伯叙利亚共和国,Сирийская Арабская Республика
762,Tajikistan,Tayikistán,Tadjikistan,طاجيكستان,塔吉克斯坦,Таджикистан
764,Thailand,Tailandia,Thaïlande,تايلند,泰国,Таиланд
626,Timor-Leste,Timor-Leste,Timor-Leste,تيمور - ليشتي,东帝汶,Тимор-Лешти
768,Togo,Togo,Togo,توغو,多哥,Того
772,Tokelau,Tokelau (Miembro Asociado),Tokélaou (Membre associé),توكيلاو - عضو منتسب,托克劳（准成员）,Токелау (ассоциированный член)
776,Tonga,Tonga,Tonga,تونغا,汤加,Тонга
780,Trinidad and Tobago,Trinidad y Tabago,Trinité-et-Tobago,ترينيداد وتوباغو,特立尼达和多巴哥,Тринидад и Тобаго
-8,Tromelin Island,,,,,
788,Tunisia,Túnez,Tunisie,تونس,突尼斯,Тунис
792,Turkey,Turquía,Turquie,تركيا,土耳其,Турция
795,Turkmenistan,Turkmenistán,Turkménistan,تركمانستان,土库曼斯坦,Туркменистан
796,Turks and Caicos Islands,Islas Turcas y Caicos,Îles Turques et Caïques,جزر تركس وكايكوس,特克斯和凯科斯群岛,острова Тёркс и Кайкос
798,Tuvalu,Tuvalu,Tuvalu,توفالو,图瓦卢,Тувалу
581,US Minor Is.,Islas Menores Periféricas de los Estados Unidos,Îles mineures éloignées des États-Unis,جزر الولايات المتحدة الصغرى,美国小离岛,малые отдаленные острова Соединенных Штатов Америки
800,Uganda,Uganda,Ouganda,أوغندا,乌干达,Уганда
804,Ukraine,Ucrania,Ukraine,أوكرانيا,乌克兰,Украина
784,United Arab Emirates,Emiratos Árabes Unidos,Émirats arabes unis,الإمارات العربيّة المتحدة,阿拉伯联合酋长国,Объединенные Арабские Эмираты
826,United Kingdom,Reino Unido,Royaume-Uni,المملكة المتحدة,联合王国,Соединенное Королевство
834,United Republic of Tanzania,República Unida de Tanzanía,République-Unie de Tanzanie,جمهوريّة تنزانيا المتحدة,坦桑尼亚联合共和国,Объединенная Республика Танзания
850,United States Virgin Islands,Islas Vírgenes (EE.UU.),Îles Vierges américaines,جزر فيرجين التابعة للولايات المتحدة,美属维尔京群岛,Виргинские острова США
840,United States of America,Estados Unidos de América,États-Unis d'Amérique,الولايات المتحدة الأمريكيّة,美国,Соединенные Штаты Америки
858,Uruguay,Uruguay,Uruguay,أوروغواي,乌拉圭,Уругвай
860,Uzbekistan,Uzbekistán,Ouzbékistan,أوزبكستان,乌兹别克斯坦,Узбекистан
548,Vanuatu,Vanuatu,Vanuatu,فانواتو,瓦努阿图,Вануату
862,Venezuela (Bolivarian Republic of),Venezuela (República Bolivariana de),Venezuela (République bolivarienne du),فنزويلا الجمهوريّة) - (البوليفاريّة,委内瑞拉(玻利瓦尔共和国),Венесуэла (Боливарианская Республика)
704,Viet Nam,Viet Nam,Viet Nam,فييت نام,越南,Вьетнам
876,Wallis and Futuna Islands,Islas Wallis y Futuna,Îles Wallis et Futuna,جزر واليس وفوتونا,瓦利斯和富图纳群岛,острова Уоллис и Футуна
732,Western Sahara,Sáhara occidental,Sahara occidental,الصحراء الغربيّة,西撒哈拉,Западная Сахара
887,Yemen,Yemen,Yémen,اليمن,也门,Йемен
894,Zambia,Zambia,Zambie,زامبيا,赞比亚,Замбия
716,Zimbabwe,Zimbabwe,Zimbabwe,زمبابوي,津巴布韦,Зимбабве
248,Åland Islands,Islas Åland,Îles d'Åland,جزر ألاند,奥兰群岛,Аландские острова
